opis_id,name,address,city,state,latitude,longitude,price_mean,price_min,price_max,price_sample_count
6167,PILOT TRAVEL CENTERS #167,US-71,Nevada,MO,37.844908,-94.350321,3.495667,3.495667,3.495667,1
6172,SPEEDWAY #2319,"I-96, EXIT 77",Portland,MI,42.869794,-84.898930,3.624000,3.549000,3.699000,2
6173,PILOT TRAVEL CENTERS #21,"I-94, EXIT 167",Dexter,MI,42.332256,-83.881027,3.621500,3.579000,3.659000,4
6175,ONVO TRAVEL PLAZA - MIFFLINTOWN,US-322/US-22 & SR-35,Mifflintown,PA,40.571174,-77.395140,3.479000,3.479000,3.479000,1
6179,HENDERSON TRAVEL PLAZA,"I-10, EXIT 115 & SR-347",Breaux Bridge,LA,30.283099,-91.905919,3.385667,3.385667,3.385667,1
6180,Circle #4703923,"I-24, EXIT 180B & US-27",Chattanooga,TN,35.065958,-85.248386,2.785667,2.785667,2.785667,1
6182,Exxon,"I-20, EXIT 205 & SR-46",Heflin,AL,33.647400,-85.569339,3.015667,3.015667,3.015667,1
6188,SIGNAL FOOD STORE #112,US-65 & SR-J,Ozark,MO,37.033600,-93.218044,2.999000,2.999000,2.999000,1
6198,DAVIS TRAVEL CENTER #102,"I-95/US-301, EXIT 33 & SR-602",Stony Creek,VA,36.948010,-77.400067,3.065667,3.065667,3.065667,1
6200,KWIK FILL #388,"I-80, EXIT 29 & SR-8",Harrisville,PA,41.136407,-80.010746,3.404000,3.404000,3.404000,1
6206,PETRO PORTAGE,"I-90 & I-94, EXIT 108-A",Portage,WI,43.548951,-89.465866,3.807333,3.807333,3.807333,1
6212,MR FUEL,"I-55, EXIT 180",Pevely,MO,38.288089,-90.400038,3.015667,3.015667,3.015667,1
6214,PIONEER Travel Plaza,"I-41, EXIT 60 & SR-145",Richfield,WI,43.239390,-88.234017,3.215667,3.215667,3.215667,1
6215,FUEL HUB,"I-87, EXIT 21B",West Coxsackie,NY,42.360640,-73.816792,3.599000,3.599000,3.599000,1
6218,LOVES TRAVEL STOP #215,"I-40, EXIT 16 & US-40 BUS/US-66",Gallup,NM,35.513753,-108.743733,3.437333,3.437333,3.437333,1
6219,SCHATZ CROSSROADS,US-2 /US-52,Minot,ND,48.236125,-101.277533,3.549000,3.549000,3.549000,1
6221,LOVES TRAVEL STOP #214,I-10 EXIT 37,El Paso,TX,31.847780,-106.431106,3.075667,3.075667,3.075667,1
6222,QUIKTRIP #236,"I-29/US-71, EXIT 18 & SR-92",Platte City,MO,39.359733,-94.756317,2.999000,2.999000,2.999000,1
6227,MARLOWS FUEL CENTER,"I-20, EXIT 479",Dallas,TX,32.793333,-96.766513,3.240667,3.240667,3.240667,1
6229,FUEL MART #764,"I-70, EXIT 66 & SR- 54",South Vienna,OH,39.929321,-83.613934,3.129000,3.129000,3.129000,1
6232,OASIS TRUCK STOP,"I-44 & SR-133, MM 145",Richland,MO,37.861142,-92.399744,3.324000,3.324000,3.324000,1
6242,TA FORISTELL TRAVEL CENTER,"I-70, EXIT 203",Foristell,MO,38.814393,-90.958962,3.019000,3.019000,3.019000,1
